Tipos,Status,Category,Descrição,Detalhe,O que o cliente deve fazer
BDE,24,waiting_retrieval,Objeto disponível para retirada em Caixa Postal,,Acompanhar
BDI,24,waiting_retrieval,Objeto disponível para retirada em Caixa Postal,,Acompanhar
BDR,24,waiting_retrieval,Objeto disponível para retirada em Caixa Postal,,Acompanhar
BDE,25,delivery_unsuccessful,A entrega não pode ser efetuada - Empresa sem expediente,A entrega deverá ocorrer no próximo dia útil,Acompanhar
BDI,25,delivery_unsuccessful,A entrega não pode ser efetuada - Empresa sem expediente,A entrega deverá ocorrer no próximo dia útil,Acompanhar
BDR,25,delivery_unsuccessful,A entrega não pode ser efetuada - Empresa sem expediente,A entrega deverá ocorrer no próximo dia útil,Acompanhar
BDE,26,waiting_retrieval,Destinatário não retirou objeto na Unidade dos Correios,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDI,26,waiting_retrieval,Destinatário não retirou objeto na Unidade dos Correios,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDR,26,waiting_retrieval,Destinatário não retirou objeto na Unidade dos Correios,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDE,28,damaged ,Objeto e/ou conteúdo avariado,Favor entrar em contato com os Correios.,Acionar atendimento dos Correios.
BDI,28,damaged ,Objeto e/ou conteúdo avariado,Favor entrar em contato com os Correios.,Acionar atendimento dos Correios.
BDR,28,damaged ,Objeto e/ou conteúdo avariado,Favor entrar em contato com os Correios.,Acionar atendimento dos Correios.
BDE,32,shipped,Objeto com data de entrega agendada,,Acompanhar
BDI,32,shipped,Objeto com data de entrega agendada,,Acompanhar
BDR,32,shipped,Objeto com data de entrega agendada,,Acompanhar
BDE,33,delivery_rejected,A entrega não pode ser efetuada - Destinatário não apresentou documento exigido,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDI,33,delivery_rejected,A entrega não pode ser efetuada - Destinatário não apresentou documento exigido,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDR,33,delivery_rejected,A entrega não pode ser efetuada - Destinatário não apresentou documento exigido,Objeto será devolvido ao remetente,Acompanhar o retorno do objeto ao remetente.
BDE,34,delivery_unsuccessful,A entrega não pode ser efetuada - Logradouro com numeração irregular,Objeto sujeito a atraso na entrega ou a devolução ao remetente,Acompanhar
BDI,34,delivery_unsuccessful,A entrega não pode ser efetuada - Logradouro com numeração irregular,Objeto sujeito a atraso na entrega ou a devolução ao remetente,Acompanhar
BDR,34,delivery_unsuccessful,A entrega não pode ser efetuada - Logradouro com numeração irregular,Objeto sujeito a atraso na entrega ou a devolução ao remetente,Acompanhar
BDE,35,delivery_unsuccessful,Coleta ou entrega de objeto não efetuada,Será realizada nova tentativa de coleta ou entrega,Acompanhar
BDI,35,delivery_unsuccessful,Coleta ou entrega de objeto não efetuada,Será realizada nova tentativa de coleta ou entrega,Acompanhar
